"title","authors","pub_year","journal","abb","cit_tot","year","citation","tot","field","age","decade"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1988,0,0,"IR",0,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1989,8,8,"IR",1,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1990,11,19,"IR",2,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1991,21,40,"IR",3,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1992,14,54,"IR",4,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1993,15,69,"IR",5,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1994,26,95,"IR",6,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1995,22,117,"IR",7,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1996,34,151,"IR",8,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1997,52,203,"IR",9,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1998,53,256,"IR",10,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,1999,39,295,"IR",11,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2000,47,342,"IR",12,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2001,48,390,"IR",13,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2002,48,438,"IR",14,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2003,40,478,"IR",15,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2004,52,530,"IR",16,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2005,43,573,"IR",17,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2006,65,638,"IR",18,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2007,60,698,"IR",19,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2008,65,763,"IR",20,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2009,85,848,"IR",21,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2010,82,930,"IR",22,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2011,90,1020,"IR",23,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2012,90,1110,"IR",24,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2013,86,1196,"IR",25,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2014,107,1303,"IR",26,"1980s"
"Diplomacy and Domestic Politics","Putnam",1988,"International Organization","IO",1364,2015,60,1363,"IR",27,"1980s"
