"title","authors","pub_year","journal","abb","cit_tot","year","citation","tot","field","age","decade","hdecade"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2002,0,0,"Other",0,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2003,5,5,"Other",0,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2004,27,32,"Other",1,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2005,42,74,"Other",2,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2006,49,123,"Other",3,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2007,62,185,"Other",4,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2008,93,278,"Other",5,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2009,81,359,"Other",6,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2010,102,461,"Other",7,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2011,139,600,"Other",8,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2012,120,720,"Other",9,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2013,142,862,"Other",10,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2014,140,1002,"Other",11,"2000s","2000-05"
"Ethnic Insurgency and Civil War","Fearon and Laitin",2003,"American Political Science Review","APSR",1146,2015,144,1146,"Other",12,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,1999,0,0,"Other",0,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2000,3,3,"Other",0,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2001,25,28,"Other",1,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2002,35,63,"Other",2,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2003,47,110,"Other",3,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2004,47,157,"Other",4,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2005,47,204,"Other",5,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2006,47,251,"Other",6,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2007,48,299,"Other",7,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2008,58,357,"Other",8,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2009,78,435,"Other",9,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2010,81,516,"Other",10,"2000s","2000-05"
"Increasing Returns, Path Dependence, and the Study of Politics","Pierson",2000,"American Political Science Review","APSR",1024,2011,94,610,"Other",11,"2000s","2000-05"
