title,authors,pub_year,journal,abb,cit_tot,year,citation,tot,field,age,decade,hdecade
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,1995,0,0,Methods,0,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,1996,5,5,Methods,1,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,1997,20,25,Methods,2,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,1998,32,57,Methods,3,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,1999,34,91,Methods,4,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2000,37,128,Methods,5,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2001,59,187,Methods,6,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2002,34,221,Methods,7,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2003,57,278,Methods,8,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2004,63,341,Methods,9,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2005,83,424,Methods,10,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2006,106,530,Methods,11,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2007,90,620,Methods,12,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2008,106,726,Methods,13,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2009,111,837,Methods,14,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2010,122,959,Methods,15,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2011,128,1087,Methods,16,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2012,128,1215,Methods,17,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2013,128,1343,Methods,18,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2014,120,1463,Methods,19,1990s,1995-00
What to Do (and not to Do) with Time-Series Cross-Section Data,Beck and Katz,1995,American Political Science Review,APSR,1573,2015,110,1573,Methods,20,1990s,1995-00
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1988,0,0,IR,0,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1989,8,8,IR,1,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1990,11,19,IR,2,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1991,21,40,IR,3,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1992,14,54,IR,4,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1993,15,69,IR,5,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1994,26,95,IR,6,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1995,22,117,IR,7,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1996,34,151,IR,8,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1997,52,203,IR,9,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1998,53,256,IR,10,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,1999,39,295,IR,11,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2000,47,342,IR,12,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2001,48,390,IR,13,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2002,48,438,IR,14,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2003,40,478,IR,15,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2004,52,530,IR,16,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2005,43,573,IR,17,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2006,65,638,IR,18,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2007,60,698,IR,19,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2008,65,763,IR,20,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2009,85,848,IR,21,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2010,82,930,IR,22,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2011,90,1020,IR,23,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2012,90,1110,IR,24,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2013,86,1196,IR,25,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2014,107,1303,IR,26,1980s,1985-90
Diplomacy and Domestic Politics,Putnam,1988,International Organization,IO,1364,2015,60,1363,IR,27,1980s,1985-90
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1972,0,0,Other,0,1970s,1970-75
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1973,6,6,Other,1,1970s,1970-75
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1974,6,12,Other,2,1970s,1970-75
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1975,6,18,Other,3,1970s,1970-75
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1976,10,28,Other,4,1970s,1970-75
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1977,6,34,Other,5,1970s,1970-75
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1978,13,47,Other,6,1970s,1970-75
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1979,9,56,Other,7,1970s,1970-75
Agenda-Setting Function of Mass Media,McCombs and Shaw,1972,Public Opinion Quarterly,POQ,1305,1980,12,68,Other,8,1970s,1970-75
